advertising_id,event_date
d6a252af-692b-4201-8d2e-2dcaa637294e,2023-06-04
c2a2b3f6-203d-47af-b1c0-2d881da5f2e2,2023-06-04
671ccc63-c301-43e2-b90e-9bf06ad5d6d7,2023-06-03
df72c577-4dcd-426d-b114-4e114e4e00e5,2023-06-03
536e3f7f-1270-46f5-8b7f-c043007a8b13,2023-06-03
4f301e8f-0794-4a85-b2a3-7edad492544f,2023-06-03
9c7b5d7b-157b-4e9b-b737-559d50b8e0f6,2023-06-03
259cfd72-8669-4d07-8fca-d5ec0e7c3852,2023-06-03
9100d1cb-c8ab-4156-ae3a-14c91ce0471e,2023-06-03
f1a42270-3c0b-4828-aebc-3b368b1f8f03,2023-05-31
47c7f7f3-9628-43d6-89a6-359d484d6a4e,2023-07-14
2952e458-426e-4bc0-9969-50bb5afadc24,2023-06-20
dc1908a3-dc77-4a30-aca1-c005be2b3953,2023-06-20
ddc6a853-6e21-4fd3-88c5-420888eee97b,2023-06-20
781bc85d-a81f-4ef2-bd40-3e680a0029eb,2023-06-20
111b69ed-4888-4cfe-a4c1-6e1127661bed,2023-06-14
46c64730-3086-4788-b6de-d0cdc4f31ad4,2023-06-13
f23a6420-ed4f-4e35-8595-e81f695d68f9,2023-06-14
409a1ef9-bfd4-4e4a-a7dc-8d23f0d24b9c,2023-06-13
1a0a7dc8-f370-4d87-a4d9-c215fa607d3e,2023-06-14
9616602a-1432-48fa-a833-e4a264c4efe3,2023-06-14
bf217463-dca0-471a-ab21-ec09b510b40c,2023-07-13
327641d7-0a26-4be1-9edb-116fb0084ad4,2023-07-13
27d3e73b-b41d-4a0d-aab4-a83c6fbd0ceb,2023-07-13
bae01f52-5425-4acf-8acc-906e8dd7a0f9,2023-07-13
cbcb06d7-3afb-46b1-b036-5e09fef59927,2023-07-12
0d3083ce-8dbb-49ea-aeff-c8e0c4f6b44a,2023-07-14
83f17385-77fb-486b-9e03-944800ee9c15,2023-07-14
dffdb08d-4ad0-4c17-8341-18994ecd9e1a,2023-07-14
68f8e276-8e67-4d9f-9dd0-46324b4d67d8,2023-07-14
0450a067-a33a-4810-a367-55c63dfb3993,2023-07-14
a3f0ea68-1be2-4edb-b2cf-a3591bd59b52,2023-06-24
416b05b7-7d58-4b9a-99fd-75e53e39b0c0,2023-06-04
122643e8-9ac7-44e1-a3cf-f828997dc689,2023-06-24
b359fc80-61de-46f3-8a62-9f91557b7972,2023-06-16
3bbe00da-64ba-4b29-a73e-36f2a35e0552,2023-06-22
7735fc0f-42db-45f4-98ab-93eb80adca88,2023-06-23
70f0d709-cfc6-4dd5-ae1c-a944417ae247,2023-06-18
f8116021-7311-4179-b945-b1a46280d151,2023-06-04
4d10f937-95ac-4c36-8969-9c27ff3906b8,2023-06-04
d152e176-4ca6-47a8-bc90-fc6e09682741,2023-06-21
5fca3f2a-1ab0-4c34-8761-a7e5514a0973,2023-06-20
2e277a98-9545-478c-9f05-3e7d9bed609d,2023-06-21
2a04bc85-0873-4f51-acaf-223333342978,2023-06-20
4126232b-01cb-4cc3-9f82-0e4ff9c34e43,2023-06-21
b088daec-e183-44cf-a111-a5d349730375,2023-06-19
e64daebc-569c-47c0-b91a-a987abe74576,2023-07-10
d5cb057a-3e43-4741-9c5f-6fc27fe99791,2023-07-14
82a70aa7-2406-42da-a3e0-2c00fa4d8f85,2023-07-15
b63d887d-ea8e-4973-a8e3-01ed92fa5f50,2023-07-11
1b600b54-4ba1-44a9-a8db-dca3b106c284,2023-07-15
1948d1cb-0dca-4587-b8f2-f1d795ad793e,2023-06-17
5d076c40-22dd-43f4-b3ec-6e6cdfdad54d,2023-07-12
ac9f409d-b369-4ac1-96c6-70ced6e3d8ac,2023-07-12
cbc0f65a-b892-46d5-97b8-d79c80ac2cef,2023-07-10
5f0e5797-d705-4e78-a26d-648b1b9cc187,2023-07-12
50086fd7-ac6b-40ac-8fd7-3a84e0704936,2023-07-12
6e347bd7-6e12-4f68-82de-f01663521191,2023-07-11
93449dc0-8f16-4aca-906d-253cc3f4d1d1,2023-06-22
65a101b3-20df-4c45-8093-9e5359874b21,2023-06-21
b7799fd1-fe9f-42eb-ad85-6d227e0cee54,2023-06-22
26fba72f-f6d3-4c76-80f2-2c3b8c456d58,2023-06-24
d66ff5ff-8687-4e7f-aea1-8a889104feb7,2023-07-11
28c9dd4f-8d98-4d0c-b4ae-760433b8bb6b,2023-06-16
d9bc496f-5322-4f8e-9461-d921268c11ad,2023-06-16
25ebd84b-e8ce-45ca-aa2a-ad578f9b2c11,2023-06-19
2770e341-b315-4b1c-b06b-6d4b7b06d7d1,2023-06-19
3aa49480-0a7a-4597-b6bf-e8b31490c41b,2023-06-19
c728c248-05b4-43bf-9d37-189a5db48fd1,2023-06-19
35fb0ca5-260a-4b57-9015-af22ffeec296,2023-06-17
fdaa5593-b15a-48d3-a11e-d1cdb675f4d8,2023-06-13
